mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.10769399007161458,0.06036750666908573,0.005603472391764323,0.0004875978147532382,0.6,0.01,5,30,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 30, 'subsample': 0.6}",0.9979854955680902,0.9991938734381298,0.9991938734381298,0.9987910808147834,0.0005696347907604951,23
0.06708550453186035,0.018999386584735867,0.004558881123860677,4.777634418865565e-05,0.6,0.01,5,30,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 30, 'subsample': 0.8}",0.9979854955680902,0.9991938734381298,0.9991938734381298,0.9987910808147834,0.0005696347907604951,23
0.17041548093159994,0.0749991198292088,0.00491031010945638,6.725273067904106e-05,0.6,0.01,5,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",0.9979854955680902,0.9991938734381298,0.9991938734381298,0.9987910808147834,0.0005696347907604951,23
0.08019765218098958,0.006363968099330989,0.0057332515716552734,0.001171205751288288,0.6,0.01,5,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9979854955680902,0.9991938734381298,0.9991938734381298,0.9987910808147834,0.0005696347907604951,23
0.05474702517191569,0.0028222159614304694,0.0054473876953125,0.000884096276914118,0.6,0.01,7,30,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 30, 'subsample': 0.6}",0.9979854955680902,0.9991938734381298,0.9991938734381298,0.9987910808147834,0.0005696347907604951,23
0.054860591888427734,0.012017811088109199,0.004472414652506511,0.0002314811811189771,0.6,0.01,7,30,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 30, 'subsample': 0.8}",0.9979854955680902,0.9991938734381298,0.9991938734381298,0.9987910808147834,0.0005696347907604951,23
0.0737602710723877,0.00354134800848132,0.004942496617635091,3.406930215598764e-05,0.6,0.01,7,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.6}",0.9979854955680902,0.9991938734381298,0.9991938734381298,0.9987910808147834,0.0005696347907604951,23
0.0797559420267741,0.014292943874245682,0.0052525997161865234,0.00017957219313404773,0.6,0.01,7,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",0.9979854955680902,0.9991938734381298,0.9991938734381298,0.9987910808147834,0.0005696347907604951,23
0.07509557406107585,0.04303722819399452,0.006045341491699219,0.0011472351891218474,0.6,0.1,5,30,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 30, 'subsample': 0.6}",0.9979854955680902,0.9995969367190649,0.9995969367190649,0.9990597896687401,0.0007596406435581621,17
0.06119783719380697,0.014966499767760658,0.005136330922444661,0.00017930824338944354,0.6,0.1,5,30,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 30, 'subsample': 0.8}",0.9983883964544722,1.0,0.9995969367190649,0.9993284443911791,0.0006847785990569661,11
0.0772248903910319,0.0034630920977607354,0.005472342173258464,0.0002329846339678551,0.6,0.1,5,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",0.9983883964544722,1.0,0.9995969367190649,0.9993284443911791,0.0006847785990569661,11
0.0723577340443929,0.002649057215310551,0.0050313472747802734,0.00019429500294382052,0.6,0.1,5,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9983883964544722,1.0,0.9995969367190649,0.9993284443911791,0.0006847785990569661,11
